timestamp,event_id,target_user,ip,logon_type,status,sub_status
2025-10-17 21:33:32.035364+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:33:32.055544+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:33:32.371246+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:33:32.376883+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:33:32.377533+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:33:32.377676+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:33:32.377932+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:33:32.378267+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:33:32.379642+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:33:33.178051+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:33:33.277887+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:33:35.700603+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:33:35.793116+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:33:35.793289+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:33:36.485899+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:33:37.460562+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:33:51.621347+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:33:51.930916+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:33:59.266552+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:34:04.577318+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:34:05.050432+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:34:06.608969+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:34:07.738890+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:03.813227+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:44.975449+00:00,4624,SYSTEM,-,0,,
2025-10-17 21:35:45.190624+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:45.190630+00:00,4624,UMFD-0,-,2,,
2025-10-17 21:35:45.190632+00:00,4624,UMFD-1,-,2,,
2025-10-17 21:35:45.253674+00:00,4624,LOCAL SERVICE,-,5,,
2025-10-17 21:35:45.273220+00:00,4624,NETWORK SERVICE,-,5,,
2025-10-17 21:35:45.312111+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:45.419783+00:00,4624,DWM-1,-,2,,
2025-10-17 21:35:45.419794+00:00,4624,DWM-1,-,2,,
2025-10-17 21:35:45.471428+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:45.471432+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:45.500465+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:45.534798+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:45.540340+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:45.542128+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:45.554386+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:45.571392+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:45.615631+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:45.633543+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:45.649130+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:45.741720+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:45.988667+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:46.030622+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:46.138416+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:46.139965+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:46.139971+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:46.195171+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:46.258205+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:46.348991+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:46.478981+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:46.778135+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:46.792370+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:47.032740+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:47.057650+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:47.387308+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:47.391405+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:47.393162+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:47.412968+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:47.416481+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:47.446445+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:47.470156+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:50.482555+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:50.482998+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:51.092817+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:59.709858+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:59.765123+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:35:59.784260+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:36:21.054338+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:36:32.168705+00:00,4624,Daniele Monaco,127.0.0.1,2,,
2025-10-17 21:36:32.168728+00:00,4624,Daniele Monaco,127.0.0.1,2,,
2025-10-17 21:36:32.427706+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:36:32.950438+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:36:32.965113+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:36:33.811768+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:36:34.754799+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:36:34.834921+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:36:35.377583+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:36:40.994749+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:36:41.895967+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:36:49.303610+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:36:49.655130+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:36:53.385826+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:36:53.609753+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:36:54.522430+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:37:02.147858+00:00,4624,SYSTEM,-,5,,
2025-10-17 21:37:03.348806+00:00,4624,UMFD-2,-,2,,
2025-10-17 21:37:03.672546+00:00,4624,DWM-2,-,2,,
2025-10-17 21:37:03.672586+00:00,4624,DWM-2,-,2,,
